date,entry_time,exit_time,symbol,position,leverage,position_size,equity_allocated,entry_price,exit_price,exit_type,pnl_amount,pnl_percentage
2024-11-11,2024-11-11 15:51:00,2024-11-11 18:51:00,BTC,LONG,20.0,0.03970187544116228,166.66666666666666,83959.09,85465.07,time_window,59.66523037688239,35.799138226129436
2024-11-11,2024-11-11 15:51:00,2024-11-11 18:51:00,ETH,LONG,20.0,1.0298396024819134,166.66666666666666,3236.75,3318.98,time_window,84.5587105120876,50.73522630725256
2024-11-11,2024-11-11 15:51:00,2024-11-11 18:51:00,TON,LONG,20.0,620.2704379109291,166.66666666666666,5.374,5.423,time_window,30.26825145763587,18.160950874581527
2024-11-11,2024-11-11 15:51:00,2024-11-11 18:51:00,FTM,LONG,10.0,2108.6369770580295,166.66666666666666,0.7904,0.8226,time_window,67.83561066126845,40.70136639676107
2024-11-11,2024-11-11 15:51:00,2024-11-11 18:51:00,STX,SHORT,10.0,818.5985592665356,166.66666666666666,2.036,2.034,time_window,-1.699697118533095,1.0198182711198571
2024-11-11,2024-11-11 15:51:00,2024-11-11 18:51:00,TRX,SHORT,10.0,10076.58202337767,166.66666666666666,0.1654,0.1663,time_window,9.006423821040016,-5.40385429262401
2024-11-11,2024-11-11 20:31:00,2024-11-11 23:31:00,ADA,LONG,1.0,276.21257319633185,166.66666666666666,0.6034,0.6145,time_window,3.0597095624792643,1.8358257374875588
2024-11-11,2024-11-11 20:31:00,2024-11-11 23:31:00,DOGE,LONG,1.0,517.3252216738574,166.66666666666666,0.32217,0.34268,time_window,10.60409029653078,6.362454177918468
2024-11-11,2024-11-11 20:31:00,2024-11-11 23:31:00,BTC,LONG,102.0,0.1962655967651735,166.66666666666666,86617.32,88940.0,time_window,455.2246762945295,273.1348057767177
2024-11-11,2024-11-11 20:31:00,2024-11-11 23:31:00,AVAX,LONG,103.0,501.50939721491864,166.66666666666666,34.23,35.35,time_window,561.0467748807089,336.6280649284254
